name,platform,id,team_name,car_name,avg_speed,total_distance,shots,shots_against,goals,goals_against,saves,assists,score,mvp,shooting_percentage,demos_inflicted,demos_taken
Jasminea_,epic,62d668b48e834a7caaabeac87660117f,WHITES,Dominus,1520,497727,3,6,2,3,0,0,350,False,66.666664,1,0
rfkill,epic,cd708536d4ea47c8b63bbf211de9b300,WHITES,Fennec,1456,474829,4,6,0,3,0,1,250,False,0.0,0,1
aymaanfawzy,epic,759153e81c9a4f969af5ae0be5fd7e9c,WHITES,Fennec,1074,334750,0,6,0,3,1,0,198,False,0.0,0,0
LakzInASlump,epic,51104b5ef1f542f0bbab05a11cd6e161,NIGGERS,Octane,1483,731215,8,7,0,3,1,1,444,False,0.0,0,0
Haithomianzz,ps4,Haithomianzz,NIGGERS,Octane,1356,659863,4,7,1,3,0,1,372,False,25.0,1,2
Vertzoz,ps4,Vertzoz,NIGGERS,Octane,1453,708427,0,7,1,3,2,0,260,False,0.0,1,1
rfkill,epic,cd708536d4ea47c8b63bbf211de9b300,WHITES,Octane,1346,657355,3,12,2,2,3,0,650,True,66.666664,1,0
Jasminea_,epic,62d668b48e834a7caaabeac87660117f,WHITES,Octane,1480,724374,1,12,0,2,3,2,495,False,0.0,2,1
aymaanfawzy,epic,759153e81c9a4f969af5ae0be5fd7e9c,WHITES,Fennec,1163,557807,3,12,1,2,3,1,490,False,33.333332,0,1
LakzInASlump,epic,51104b5ef1f542f0bbab05a11cd6e161,NIGGERS,Octane,1442,455598,4,2,1,0,1,0,282,True,25.0,0,1
Haithomianzz,ps4,Haithomianzz,NIGGERS,Octane,1359,433541,3,2,1,0,0,0,232,False,33.333332,0,0
Vertzoz,ps4,Vertzoz,NIGGERS,Octane,1433,456618,0,2,0,0,0,0,44,False,0.0,0,0
rfkill,epic,cd708536d4ea47c8b63bbf211de9b300,WHITES,Octane,1396,444209,1,7,0,2,2,0,234,False,0.0,0,0
Jasminea_,epic,62d668b48e834a7caaabeac87660117f,WHITES,Octane,1487,474500,1,7,0,2,2,0,214,False,0.0,0,0
aymaanfawzy,epic,759153e81c9a4f969af5ae0be5fd7e9c,WHITES,Fennec,1097,347115,0,7,0,2,0,0,38,False,0.0,1,0
Vertzoz,ps4,Vertzoz,NIGGERS,Octane,1462,464709,3,5,2,1,2,0,397,True,66.666664,0,0
LakzInASlump,epic,51104b5ef1f542f0bbab05a11cd6e161,NIGGERS,Octane,1471,468464,5,5,0,1,2,0,302,False,0.0,0,0
Haithomianzz,ps4,Haithomianzz,NIGGERS,Octane,1425,453376,1,5,0,1,0,1,212,False,0.0,1,0
rfkill,epic,cd708536d4ea47c8b63bbf211de9b300,WHITES,Octane,1374,432680,2,9,1,2,1,0,317,False,50.0,0,1
aymaanfawzy,epic,759153e81c9a4f969af5ae0be5fd7e9c,WHITES,Fennec,1222,386003,2,9,0,2,2,0,238,False,0.0,0,0
Jasminea_,epic,62d668b48e834a7caaabeac87660117f,WHITES,Octane,1486,471314,1,9,0,2,1,1,220,False,0.0,0,0
